회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,2024년 매출액(원),sector_tag_en,sector_tag_ko,product_tags_en,product_tags_ko,OpenAI_Info,OpenAI_Hashtags,AI,Robotics,Defense,Environment,Bio,Longevity
로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,장기 재생 플랫폼,2025-05-12,12월,유석환,http://rokithealthcare.com,서울특별시,,Health Care,헬스케어,['Other Products'],['기타 제품/서비스'],"로킷헬스케어는 헬스케어 기술과 바이오 기술을 결합하여 혁신적인 의료 솔루션을 제공하는 기업입니다. 이 회사는 주로 개인 맞춤형 건강 관리 및 데이터 기반 솔루션에 집중하고 있으며, 다양한 디지털 헬스 제품을 개발하고 있습니다.

로킷헬스케어가 제공하는 제품과 서비스는 다음과 같습니다:

#로킷핏 #디지털헬스 #헬스케어플랫폼 #개인맞춤형건강관리 #바이오센서 #건강데이터분석 #원격의료 #스마트헬스기기",#로킷핏 #디지털헬스 #헬스케어플랫폼 #개인맞춤형건강관리 #바이오센서 #건강데이터분석 #원격의료 #스마트헬스기기,1,0,0,0,1,1
오가노이드사이언스,476040,자연과학 및 공학 연구개발업,"오가노이드 기반 재생치료제, 오가노이드 기반 신소재평가 솔루션",2025-05-09,12월,유종만,http://organoidrx.com,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"오가노이드사이언스는 생명 과학 및 의약 연구를 위한 오가노이드 기술을 개발하고 제공하는 회사입니다. 오가노이드란, 체외에서 배양된 미세한 장기 모형으로, 인체의 조직과 유사한 구조와 기능을 가지며, 약물 개발, 질병 연구, 개인 맞춤형 치료 등에 활용됩니다. 이 회사는 생명 과학 연구자들이 보다 효과적으로 실험을 수행할 수 있도록 다양한 제품과 서비스를 제공합니다.

#오가노이드 #세포배양키트 #약물테스트서비스 #맞춤형연구지원 #데이터분석서비스 #질병모델개발",#오가노이드 #세포배양키트 #약물테스트서비스 #맞춤형연구지원 #데이터분석서비스 #질병모델개발,0,0,0,0,1,0
원일티엔아이,136150,일반 목적용 기계 제조업,"수소저장합금, 고압연소식기화기",2025-05-09,12월,이정빈,http://www.woniltni.co.kr/,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"원일티엔아이(Oneil T&I)는 정보통신기술(ICT) 분야에서 다양한 솔루션과 서비스를 제공하는 회사입니다. 주로 네트워크, 보안, 클라우드 서비스 등을 전문으로 하며, 고객의 요구에 맞춘 맞춤형 솔루션을 통해 경쟁력을 강화하는 데 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#네트워크솔루션 #보안솔루션 #클라우드서비스 #IT컨설팅 #시스템통합 #데이터분석 #IoT솔루션",#네트워크솔루션 #보안솔루션 #클라우드서비스 #IT컨설팅 #시스템통합 #데이터분석 #IoT솔루션,0,0,0,0,0,0
나우로보틱스,459510,특수 목적용 기계 제조업,산업용로봇 및 로봇자동화시스템,2025-05-08,12월,이종주,http://naurobot.com,인천광역시,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"나우로보틱스(Nau Robotics)는 로봇 기술을 활용하여 다양한 산업 분야에 혁신적인 솔루션을 제공하는 회사입니다. 이 회사는 주로 자율 이동 로봇, 인공지능 및 자동화 시스템을 개발하여 물류, 제조, 서비스 산업에서의 효율성을 높이는 데 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#자율이동로봇 #물류자동화 #인공지능솔루션 #서비스로봇 #산업자동화 #로봇소프트웨어 #운송관리시스템",#자율이동로봇 #물류자동화 #인공지능솔루션 #서비스로봇 #산업자동화 #로봇소프트웨어 #운송관리시스템,1,1,0,0,0,0
에이아이코리아,364950,특수 목적용 기계 제조업,"2차전지 중앙 전해액 공급시스템(CESS), 프로세스파이핑, 건식세정장비",2025-04-29,12월,안진호,http://www.aik.co.kr/,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"에이아이코리아는 인공지능(AI) 기술을 기반으로 다양한 솔루션과 서비스를 제공하는 회사입니다. 이 회사는 주로 기업의 데이터 분석, 머신러닝 모델 개발, 자연어 처리 등 다양한 AI 관련 서비스를 통해 고객의 비즈니스 효율성을 높이고 최적의 의사결정을 지원합니다.

제공하는 제품과 서비스는 다음과 같습니다:

#AI솔루션 #데이터분석 #머신러닝 #자연어처리 #인공지능컨설팅 #비즈니스자동화 #예측분석",#AI솔루션 #데이터분석 #머신러닝 #자연어처리 #인공지능컨설팅 #비즈니스자동화 #예측분석,1,0,0,0,0,0
쎄크,81180,일반 목적용 기계 제조업,"X-ray 검사장비, LINAC, Tabletop SEM",2025-04-28,12월,김종현,http:///www.seceng.co.kr/,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"'쎄크'는 주로 전자기기 및 통신 장비를 전문적으로 개발하고 제조하는 회사입니다. 이 회사는 혁신적인 기술을 바탕으로 다양한 산업에 필요한 솔루션을 제공하고 있습니다.

쎄크가 제공하는 제품과 서비스는 다음과 같습니다:

#전자기기 #통신장비 #산업솔루션 #기술개발 #고객지원 #맞춤형서비스 #모니터링시스템 #데이터분석 #IoT솔루션",#전자기기 #통신장비 #산업솔루션 #기술개발 #고객지원 #맞춤형서비스 #모니터링시스템 #데이터분석 #IoT솔루션,0,0,0,0,0,0
한국피아이엠,448900,자동차 신품 부품 제조업,"내연기관 부품(터보차저, DCT변속기), IT 부품(스마트워치/스마트링), 자율주행 부품(카메라 모듈 케이스)",2025-04-04,12월,송준호,http://www.pimkorea.com,대구광역시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"'한국피아이엠'은 다양한 산업 분야에 맞춤형 솔루션을 제공하는 회사로, 주로 자동화, 제어 시스템 및 관련 서비스를 전문으로 합니다. 이 회사는 고객의 요구에 맞춘 혁신적인 기술과 높은 품질의 제품을 통해 산업의 효율성을 극대화하는 데 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:
#자동화솔루션 #제어시스템 #산업용센서 #데이터수집시스템 #프로세스모니터링 #기술지원서비스 #컨설팅서비스 #맞춤형솔루션",#자동화솔루션 #제어시스템 #산업용센서 #데이터수집시스템 #프로세스모니터링 #기술지원서비스 #컨설팅서비스 #맞춤형솔루션,1,0,0,0,0,0
에이유브랜즈,481070,"섬유, 의복, 신발 및 가죽제품 소매업","레인부츠, 스니커즈, 겨울화, 패션잡화 등",2025-04-03,12월,김지훈,http://aubrandz.irpage.co.kr,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"에이유브랜즈(AU Brands)는 다양한 소비재 브랜드를 보유하고 있는 회사로, 주로 패션, 뷰티, 라이프스타일 관련 제품을 제공합니다. 지속 가능한 제품 개발과 혁신적인 디자인에 중점을 두고 있으며, 고객의 다양한 필요를 충족시키기 위해 노력하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#패션 #의류 #신발 #액세서리 #뷰티 #화장품 #라이프스타일제품 #온라인쇼핑 #브랜드컨설팅",#패션 #의류 #신발 #액세서리 #뷰티 #화장품 #라이프스타일제품 #온라인쇼핑 #브랜드컨설팅,0,0,0,1,0,0
우양에이치씨,101970,"구조용 금속제품, 탱크 및 증기발생기 제조업","화공 플랜트, 에너지 플랜트",2025-03-28,12월,김진태,http://www.wooyang.co.kr,경기도,"200,055,393,194",Materials,소재,['Other Products'],['기타 제품/서비스'],"우양에이치씨는 다양한 산업 분야에 솔루션을 제공하는 전문 기업으로, 특히 식품 및 화학 분야에서 두각을 나타내고 있습니다. 이 회사는 혁신적인 기술과 품질 높은 제품을 기반으로 고객의 요구에 부응하고 있습니다.

우양에이치씨가 제공하는 제품과 서비스는 다음과 같습니다:

#식품첨가물 #화학제품 #품질관리 #고객맞춤형솔루션 #연구개발 #컨설팅서비스",#식품첨가물 #화학제품 #품질관리 #고객맞춤형솔루션 #연구개발 #컨설팅서비스,0,0,0,0,0,0
더즌,462860,전기 통신업,디지털뱅킹 솔루션(B2B 금융 서비스),2025-03-24,12월,조철한,http://www.dozn.co.kr/,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"더즌은 주로 IT 솔루션과 디지털 서비스를 제공하는 회사로, 혁신적인 기술과 서비스를 통해 고객의 비즈니스 성장을 지원합니다. 다양한 산업 분야에 걸쳐 맞춤형 솔루션을 개발하여 고객의 요구에 부응하고 있습니다.

#소프트웨어개발 #클라우드서비스 #데이터분석 #IT컨설팅 #모바일앱개발 #웹솔루션 #디지털전환 #AI솔루션",#소프트웨어개발 #클라우드서비스 #데이터분석 #IT컨설팅 #모바일앱개발 #웹솔루션 #디지털전환 #AI솔루션,1,0,0,0,0,0
