회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,2024년 매출액(원),sector_tag_en,sector_tag_ko,product_tags_en,product_tags_ko,Gemini_Info,Gemini_Hashtags,Benefit_AI,Benefit_Defense,Benefit_Environment,Benefit_Bio,Benefit_Longevity,AI_Benefit,Benefit_Robotics
로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,장기 재생 플랫폼,2025-05-12,12월,유석환,http://rokithealthcare.com,서울특별시,,Health Care,헬스케어,['Other Products'],['기타 제품/서비스'],"## 로킷헬스케어 (ROKIT Healthcare) 회사 소개

로킷헬스케어는 3D 바이오프린팅 기술을 기반으로 개인 맞춤형 재생 의료 솔루션을 제공하는 한국 기업입니다. 손상된 조직과 장기를 재생하고 치료하는 데 중점을 두고 있으며, 환자 자신의 세포를 활용하여 안전하고 효과적인 치료법을 개발하는 데 힘쓰고 있습니다. 단순한 의료기기 제조를 넘어, 환자의 삶의 질을 향상시키는 혁신적인 의료 기술을 선보이는 것을 목표로 합니다. 특히 피부, 연골, 뼈 재생 분야에서 두각을 나타내고 있으며, 해외 시장 진출에도 적극적으로 나서고 있습니다.

## 로킷헬스케어 제품 및 서비스 (#)

*   #3D바이오프린팅 #장기재생 #피부재생 #연골재생 #뼈재생
*   #자가지방줄기세포 #맞춤형치료 #재생의료플랫폼
*   #자가연골재생 #카티젠 #CartiGen
*   #피부재생솔루션 #Nuvo
*   #맞춤형정형외과임플란트
*   #AI기반진단 #AI피부진단 #맞춤형화장품
*   #해외원격의료 #글로벌재생의료
*   #스마트헬스케어 #디지털헬스케어
*   #RaaS (Regenerative-as-a-Service)
",#3D바이오프린팅 #장기재생 #피부재생 #연골재생 #뼈재생 #자가지방줄기세포 #맞춤형치료 #재생의료플랫폼 #자가연골재생 #카티젠 #CartiGen #피부재생솔루션 #Nuvo #맞춤형정형외과임플란트 #AI기반진단 #AI피부진단 #맞춤형화장품 #해외원격의료 #글로벌재생의료 #스마트헬스케어 #디지털헬스케어 #RaaS,1,0,0,1,1,True,1
오가노이드사이언스,476040,자연과학 및 공학 연구개발업,"오가노이드 기반 재생치료제, 오가노이드 기반 신소재평가 솔루션",2025-05-09,12월,유종만,http://organoidrx.com,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 오가노이드사이언스 회사 소개

오가노이드사이언스는 **손상된 장기 조직을 재생하여 질병을 치료하는 것을 목표로 하는 바이오 기업**입니다. 핵심 기술은 **오가노이드(Organoid, 미니 장기)** 제작 기술로, 환자 맞춤형 치료제 개발 및 신약 개발에 활용됩니다. 특히, 장 오가노이드 기술을 기반으로 염증성 장 질환 치료제 개발에 집중하고 있으며, 다양한 파이프라인을 구축하여 미래 성장 동력을 확보하고 있습니다.

## 오가노이드사이언스 제품 및 서비스 (#)

*   #재생치료제 #오가노이드기반치료제 #염증성장질환치료제 #장기재생치료제
*   #오가노이드개발 #환자맞춤형오가노이드 #질병모델링오가노이드 #신약개발플랫폼
*   #오가노이드제작서비스 #오가노이드분석서비스 #오가노이드기반스크리닝 #연구용오가노이드
*   #파이프라인확보 #혁신신약개발 #미래성장동력 #바이오벤처
",#재생치료제 #오가노이드기반치료제 #염증성장질환치료제 #장기재생치료제 #오가노이드개발 #환자맞춤형오가노이드 #질병모델링오가노이드 #신약개발플랫폼 #오가노이드제작서비스 #오가노이드분석서비스 #오가노이드기반스크리닝 #연구용오가노이드 #파이프라인확보 #혁신신약개발 #미래성장동력 #바이오벤처,0,0,0,1,1,False,0
원일티엔아이,136150,일반 목적용 기계 제조업,"수소저장합금, 고압연소식기화기",2025-05-09,12월,이정빈,http://www.woniltni.co.kr/,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 원일티엔아이(Wonil T&I) 회사 소개

원일티엔아이는 플랜트 엔지니어링 분야에서 오랜 경험과 기술력을 바탕으로 성장해온 기업입니다. 주로 산업 플랜트 건설, 에너지 플랜트, 환경 플랜트 등 다양한 분야의 플랜트 프로젝트를 수행하고 있습니다. 설계, 조달, 시공(EPC)은 물론 시운전 및 유지보수까지 플랜트 전반에 걸친 토탈 솔루션을 제공하며, 고객의 성공적인 플랜트 구축과 운영을 위해 최선을 다하고 있습니다. 지속적인 기술 개발과 품질 향상을 통해 고객 만족도를 높이고, 국내외 플랜트 시장에서 경쟁력을 강화하고 있습니다.

**원일티엔아이가 제공하는 제품 및 서비스 (해시태그 형태):**

*   #산업플랜트건설
*   #에너지플랜트
*   #환경플랜트
*   #플랜트설계
*   #플랜트조달
*   #플랜트시공
*   #EPC프로젝트
*   #플랜트시운전
*   #플랜트유지보수
*   #플랜트토탈솔루션
*   #플랜트엔지니어링
*   #플랜트컨설팅
*   #플랜트기술개발
*   #플랜트프로젝트관리
*   #플랜트자동화
",#산업플랜트건설 #에너지플랜트 #환경플랜트 #플랜트설계 #플랜트조달 #플랜트시공 #EPC프로젝트 #플랜트시운전 #플랜트유지보수 #플랜트토탈솔루션 #플랜트엔지니어링 #플랜트컨설팅 #플랜트기술개발 #플랜트프로젝트관리 #플랜트자동화,0,0,1,0,0,False,0
나우로보틱스,459510,특수 목적용 기계 제조업,산업용로봇 및 로봇자동화시스템,2025-05-08,12월,이종주,http://naurobot.com,인천광역시,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 나우로보틱스 회사 소개

나우로보틱스는 산업용 로봇 자동화 솔루션을 제공하는 한국 기업입니다. 특히 **협동 로봇**을 기반으로 다양한 산업 현장에 최적화된 자동화 시스템을 구축하는 데 주력하고 있습니다. 소프트웨어 기술력과 로봇 하드웨어를 융합하여 고객사의 생산성 향상과 효율적인 자동화를 돕는 것을 목표로 합니다. 자체 개발한 로봇 제어 기술과 사용자 친화적인 소프트웨어를 강점으로 내세우며, 국내외 시장에서 빠르게 성장하고 있습니다.

## 나우로보틱스 제품 및 서비스 (해시태그)

*   #협동로봇
*   #자동화솔루션
*   #로봇시스템통합
*   #로봇제어소프트웨어
*   #산업용로봇
*   #AI로봇
*   #로봇SI
*   #로봇자동화
*   #로봇컨설팅
*   #자동화시스템구축
*   #스마트팩토리
*   #로봇비전
*   #티칭펜던트
*   #로봇애플리케이션
*   #로봇유지보수
",#협동로봇 #자동화솔루션 #로봇시스템통합 #로봇제어소프트웨어 #산업용로봇 #AI로봇 #로봇SI #로봇자동화 #로봇컨설팅 #자동화시스템구축 #스마트팩토리 #로봇비전 #티칭펜던트 #로봇애플리케이션 #로봇유지보수,1,0,0,0,0,False,1
에이아이코리아,364950,특수 목적용 기계 제조업,"2차전지 중앙 전해액 공급시스템(CESS), 프로세스파이핑, 건식세정장비",2025-04-29,12월,안진호,http://www.aik.co.kr/,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 에이아이코리아 소개

에이아이코리아는 인공지능(AI) 기술을 기반으로 다양한 솔루션과 서비스를 제공하는 한국 기업입니다. 특히 기업의 디지털 전환(DX)을 돕는 데 집중하고 있으며, AI 모델 개발, 데이터 분석, AI 기반 자동화 솔루션 등 다양한 분야에서 경쟁력을 확보하고 있습니다. 고객 맞춤형 AI 솔루션 제공을 통해 기업의 효율성 증대와 혁신을 지원하는 것을 목표로 합니다.

## 제품 및 서비스 (해시태그 형태)

*   #AI모델개발
*   #데이터분석
*   #AI기반자동화
*   #DX컨설팅
*   #맞춤형AI솔루션
*   #AI플랫폼구축
*   #머신러닝
*   #딥러닝
*   #AI교육
*   #AI솔루션유지보수
",#AI모델개발 #데이터분석 #AI기반자동화 #DX컨설팅 #맞춤형AI솔루션 #AI플랫폼구축 #머신러닝 #딥러닝 #AI교육 #AI솔루션유지보수,0,0,0,0,0,False,1
쎄크,81180,일반 목적용 기계 제조업,"X-ray 검사장비, LINAC, Tabletop SEM",2025-04-28,12월,김종현,http:///www.seceng.co.kr/,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 쎄크 (SEC) 회사 소개

쎄크(SEC)는 반도체, 디스플레이, 2차전지 등 첨단 산업 분야의 검사장비 전문 기업입니다. 핵심 기술인 X-ray 이미징 기술을 바탕으로 다양한 검사 장비를 개발 및 생산하며, 품질 관리 및 생산 효율성 향상에 기여하고 있습니다. 국내는 물론 해외 시장에서도 기술력을 인정받고 있으며, 지속적인 연구 개발을 통해 미래 성장 동력을 확보하고 있습니다.

## 쎄크 제품 및 서비스 (해시태그 형태)

*   #반도체검사장비
*   #디스플레이검사장비
*   #2차전지검사장비
*   #X-ray검사장비
*   #3DX-ray검사장비
*   #자동결함검출시스템
*   #샘플링검사장비
*   #PCB검사장비
*   #실시간방사선투과검사
*   #고속자동검사장비
*   #검사장비유지보수
*   #검사장비기술지원
*   #맞춤형검사장비솔루션
",#반도체검사장비 #디스플레이검사장비 #2차전지검사장비 #X #3DX #자동결함검출시스템 #샘플링검사장비 #PCB검사장비 #실시간방사선투과검사 #고속자동검사장비 #검사장비유지보수 #검사장비기술지원 #맞춤형검사장비솔루션,1,0,0,0,0,False,1
한국피아이엠,448900,자동차 신품 부품 제조업,"내연기관 부품(터보차저, DCT변속기), IT 부품(스마트워치/스마트링), 자율주행 부품(카메라 모듈 케이스)",2025-04-04,12월,송준호,http://www.pimkorea.com,대구광역시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 한국피아이엠 소개

한국피아이엠(Korea PIM)은 분말야금(Powder Metallurgy, P/M) 기술을 기반으로 다양한 산업 분야에 첨단 소재 및 부품을 공급하는 전문 기업입니다. 특히 금속분말 사출성형(Metal Injection Molding, MIM) 기술력을 바탕으로 고품질의 정밀 부품을 생산하며, 자동차, IT, 의료기기 등 다양한 산업 분야에서 혁신적인 솔루션을 제공하고 있습니다. 고객 맞춤형 솔루션 제공을 통해 고객의 경쟁력 강화에 기여하며 지속적인 기술 개발과 품질 혁신을 통해 업계를 선도하고 있습니다.

## 제품 및 서비스 해시태그

*   #MIM부품
*   #분말야금
*   #자동차부품
*   #IT부품
*   #의료기기부품
*   #정밀부품
*   #맞춤형솔루션
*   #금속분말사출성형
*   #고품질부품
*   #기술컨설팅
*   #소재개발
*   #공동개발
",#MIM부품 #분말야금 #자동차부품 #IT부품 #의료기기부품 #정밀부품 #맞춤형솔루션 #금속분말사출성형 #고품질부품 #기술컨설팅 #소재개발 #공동개발,0,0,0,0,0,False,0
에이유브랜즈,481070,"섬유, 의복, 신발 및 가죽제품 소매업","레인부츠, 스니커즈, 겨울화, 패션잡화 등",2025-04-03,12월,김지훈,http://aubrandz.irpage.co.kr,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 에이유브랜즈 회사 소개

에이유브랜즈는 건강기능식품, 화장품, 생활용품 등 다양한 제품을 판매하는 **방문판매 전문 기업**입니다. 주력 제품은 건강기능식품이며, 건강과 아름다움을 추구하는 고객들에게 차별화된 제품과 서비스를 제공하고 있습니다. 방문판매 방식을 통해 고객과의 직접적인 소통을 강화하고, 맞춤형 컨설팅을 제공하는 것이 특징입니다.

## 에이유브랜즈 제품 및 서비스 해시태그

*   #건강기능식품
*   #화장품
*   #생활용품
*   #방문판매
*   #맞춤형컨설팅
*   #건강관리
*   #피부미용
*   #이너뷰티
*   #프리미엄제품
*   #회원제마케팅 (방문판매 특성상)
",#건강기능식품 #화장품 #생활용품 #방문판매 #맞춤형컨설팅 #건강관리 #피부미용 #이너뷰티 #프리미엄제품 #회원제마케팅,0,0,0,1,1,False,0
우양에이치씨,101970,"구조용 금속제품, 탱크 및 증기발생기 제조업","화공 플랜트, 에너지 플랜트",2025-03-28,12월,김진태,http://www.wooyang.co.kr,경기도,"200,055,393,194",Materials,소재,['Other Products'],['기타 제품/서비스'],"## 우양에이치씨 회사 소개

우양에이치씨는 건강기능식품, 의약외품, 화장품 등을 제조 및 판매하는 회사입니다. 오랜 경험과 기술력을 바탕으로 건강하고 아름다운 삶을 추구하는 고객들을 위해 다양한 제품을 개발하고 제공하고 있습니다. 특히, 자체 연구 개발을 통해 차별화된 제품을 선보이며 고객 만족도를 높이는 데 주력하고 있습니다.

## 우양에이치씨 제품 및 서비스 (해시태그)

#건강기능식품 #프로바이오틱스 #비타민 #미네랄 #오메가3 #콜라겐 #다이어트식품 #이너뷰티 #의약외품 #마스크 #손소독제 #화장품 #기초화장품 #기능성화장품 #맞춤형화장품 #OEM생산 #ODM생산 #건강상담 #온라인판매 #오프라인판매 #수출 #수입
",#건강기능식품 #프로바이오틱스 #비타민 #미네랄 #오메가3 #콜라겐 #다이어트식품 #이너뷰티 #의약외품 #마스크 #손소독제 #화장품 #기초화장품 #기능성화장품 #맞춤형화장품 #OEM생산 #ODM생산 #건강상담 #온라인판매 #오프라인판매 #수출 #수입,0,0,0,1,1,False,0
더즌,462860,전기 통신업,디지털뱅킹 솔루션(B2B 금융 서비스),2025-03-24,12월,조철한,http://www.dozn.co.kr/,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 더즌(Dozen) 회사 소개

더즌(Dozen)은 ""일상 속 작은 즐거움을 더하다""라는 철학을 바탕으로 설립된 라이프스타일 브랜드입니다. 감각적인 디자인과 실용적인 기능을 겸비한 제품들을 통해 고객들의 삶에 긍정적인 변화를 선사하고자 노력합니다. 특히, 더즌은 트렌드를 빠르게 반영하면서도 환경과 사회에 미치는 영향을 고려하는 지속 가능한 브랜드 운영을 지향합니다. 다양한 분야의 크리에이터들과 협업하여 차별화된 경험을 제공하며, 고객과의 소통을 중요하게 생각하는 브랜드입니다.

## 더즌 제품 및 서비스 해시태그

*   #디자인문구 #다이어리 #노트 #펜
*   #홈데코 #캔들 #디퓨저 #인센스
*   #라이프스타일굿즈 #텀블러 #머그컵 #에코백
*   #콜라보레이션 #아티스트콜라보 #한정판굿즈
*   #선물추천 #기프트세트 #특별한선물
*   #온라인쇼핑몰 #정기구독 #멤버십혜택
*   #오프라인매장 #팝업스토어 #전시회
*   #커뮤니티 #이벤트 #소셜미디어
*   #고객지원 #친절상담 #빠른배송
*   #지속가능한 #친환경제품 #사회적가치
",#디자인문구 #다이어리 #노트 #펜 #홈데코 #캔들 #디퓨저 #인센스 #라이프스타일굿즈 #텀블러 #머그컵 #에코백 #콜라보레이션 #아티스트콜라보 #한정판굿즈 #선물추천 #기프트세트 #특별한선물 #온라인쇼핑몰 #정기구독 #멤버십혜택 #오프라인매장 #팝업스토어 #전시회 #커뮤니티 #이벤트 #소셜미디어 #고객지원 #친절상담 #빠른배송 #지속가능한 #친환경제품 #사회적가치,0,0,0,0,0,False,0
