회사명,Benefit_AI,Benefit_Defense,Benefit_Environment,Benefit_Bio,Benefit_Longevity,AI_Benefit,Benefit_Robotics
로킷헬스케어,True,False,False,True,True,True,False
오가노이드사이언스,False,False,False,True,True,False,False
원일티엔아이,False,False,True,False,False,False,False
에코인프라텍,False,False,True,False,False,False,False
엔솔바이오사이언스,False,False,False,True,True,False,False
디앤씨바이오텍,False,False,False,True,True,False,False
스페이스아이,False,True,False,False,False,False,False
이노시뮬레이션,True,True,False,False,False,True,True
라이다오토모티브위드,False,False,False,False,False,False,False
우진공업,False,False,False,False,False,False,True
셀투인,False,False,False,True,True,False,False
하이센스,False,True,False,False,False,False,False
카티스,False,False,False,True,True,False,False
에이치엠티,False,False,False,True,True,False,False
파라다이스머티리얼즈,False,False,False,False,False,False,False
포스코이에스티,False,False,True,False,False,False,False
에이치비인베스트먼트,True,False,False,True,True,True,True
한국진공야금,False,False,False,False,False,False,False
에이피알,True,False,False,False,True,True,False
티에스석재,False,False,True,False,False,False,False
더블유씨피피엠,False,False,True,False,False,False,False
메디칸,False,False,False,True,True,False,False
와이엠티,False,False,True,True,False,False,False
신한제4호스팩,False,False,False,False,False,False,False
케이비제28호스팩,False,False,False,False,False,False,False
하이젠솔루션,False,False,False,False,False,False,True
한국아이티에스,True,True,False,False,False,True,True
이엘피,False,False,True,False,False,False,False
한중엔시에스,False,False,True,False,False,False,False
이노컴,False,False,False,False,False,False,False
삼현철강,False,False,False,False,False,False,False
씨씨에스,False,False,False,False,False,False,False
오션스톤,False,True,False,False,False,False,False
코칩,False,False,False,False,False,False,False
엔젤로보틱스,False,False,False,False,False,False,True
이닉스,False,False,True,False,False,False,False
에이피알제치3차,True,False,False,False,True,True,False
케이웨더,False,False,True,False,False,False,False
스튜디오삼익,False,False,False,False,False,False,False
현대힘스,False,True,False,False,False,False,False
우진이엠씨,False,False,True,False,False,False,False
케이에스피해상풍력,False,False,True,False,False,False,False
한국스팩14호,False,False,False,False,False,False,False
한국스팩15호,False,False,False,False,False,False,False
하나스팩32호,False,False,False,False,False,False,False
신한스팩13호,False,False,False,False,False,False,False
유안타스팩16호,False,False,False,False,False,False,False
엔에이치스팩31호,False,False,False,False,False,False,False
아이비케이스팩27호,False,False,False,False,False,False,False
교보스팩14호,False,False,False,False,False,False,False
대신스팩15호,False,False,False,False,False,False,False
한국스팩13호,False,False,False,False,False,False,False
삼성스팩9호,False,False,False,False,False,False,False
신영스팩10호,False,False,False,False,False,False,False
유안타스팩15호,False,False,False,False,False,False,False
엔에이치스팩30호,False,False,False,False,False,False,False
한국투자제21호스팩,False,False,False,False,False,False,False
아이비케이스팩26호,False,False,False,False,False,False,False
미래에셋비전스팩5호,False,False,False,False,False,False,False
하이제3호스팩,False,False,False,False,False,False,False
상상인이안제2호스팩,False,False,False,False,False,False,False
하나스팩31호,False,False,False,False,False,False,False
신한제12호스팩,False,False,False,False,False,False,False
교보스팩13호,False,False,False,False,False,False,False
SK증권제11호스팩,False,False,False,False,False,False,False
유진스팩20호,False,False,False,False,False,False,False
IBKS제25호스팩,False,False,False,False,False,False,False
한화플러스제4호스팩,False,False,False,False,False,False,False
DB금융스팩11호,False,False,False,False,False,False,False
NH투자증권제29호스팩,False,False,False,False,False,False,False
상상인제4호스팩,False,False,False,False,False,False,False
미래에셋비전스팩4호,False,False,False,False,False,False,False
삼성스팩8호,False,False,False,False,False,False,False
하나스팩30호,False,False,False,False,False,False,False
유진스팩19호,False,False,False,False,False,False,False
한국스팩12호,False,False,False,False,False,False,False
IBKS제24호스팩,False,False,False,False,False,False,False
신영스팩9호,False,False,False,False,False,False,False
SK증권제10호스팩,False,False,False,False,False,False,False
대신스팩14호,False,False,False,False,False,False,False
NH투자증권제28호스팩,False,False,False,False,False,False,False
교보스팩12호,False,False,False,False,False,False,False
유안타스팩14호,False,False,False,False,False,False,False
신한제11호스팩,False,False,False,False,False,False,False
상상인제3호스팩,False,False,False,False,False,False,False
DB금융스팩10호,False,False,False,False,False,False,False
한화플러스제3호스팩,False,False,False,False,False,False,False
미래에셋비전스팩3호,False,False,False,False,False,False,False
하나스팩29호,False,False,False,False,False,False,False
삼성스팩7호,False,False,False,False,False,False,False
유진스팩18호,False,False,False,False,False,False,False
신영스팩8호,False,False,False,False,False,False,False
SK증권제9호스팩,False,False,False,False,False,False,False
IBKS제23호스팩,False,False,False,False,False,False,False
